iD	systemName	alternateName	x	y	size	sarnaLink	distance (LY)	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050a	3050b	3050c	3051	3052	3057	3058	3059a	3059b	3059c	3059d	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145	3151	3152
162	Aquileia		-88.444	-27.883	1,1,0	https://www.sarna.net/wiki/Aquileia	92.735	U	U	U	U	U	U	U	FWL	FWL	FWL	FWL	FWL	LC,Federation of Skye,Rahneshire	LC,Federation of Skye,Rahneshire	LC,Federation of Skye,Rahneshire	LC,Federation of Skye,Rahneshire	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
175	Arlanda		-300.534	380.651	1,1,0	https://www.sarna.net/wiki/Arlanda	484.991	U	U	U	U	U	U	U	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	I	I	I	I	I	I	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
199	Athna		-27.056	-354.266	1,1,0	https://www.sarna.net/wiki/Athna	355.298	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
209	August		-124.018	-115.591	1,1,0	https://www.sarna.net/wiki/August	169.534	U	U	U	U	U	U	U	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
224	Awyron		-265.180	411.661	1,1,0	https://www.sarna.net/wiki/Awyron	489.679	U	U	U	U	U	U	U	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	I	I	I	I	I	I	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
252	Banfora		-98.055	-349.684	1,1,0	https://www.sarna.net/wiki/Banfora	363.172	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	FWL,Duchy of Andurien	FWL,Duchy of Andurien	FWL,Duchy of Andurien	FWL,Duchy of Andurien	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
280	Bayis	Bayis II	-254.159	166.531	1,1,0	https://www.sarna.net/wiki/Bayis	303.857	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
313	Beta Regulus	Beta Regulus II	-201.451	276.407	1,1,0	https://www.sarna.net/wiki/Beta_Regulus	342.028	U	U	U	U		LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
324	Biegga		-189.757	382.354	1,1,0	https://www.sarna.net/wiki/Biegga	426.852	U	U	U	U	U	U	U	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
347	Blue Sava		-33.310	-66.814	1,1,0	https://www.sarna.net/wiki/Blue_Sava	74.657	U	U	U		FWL	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
351	Boara		-310.769	481.440	1,1,0	https://www.sarna.net/wiki/Boara	573.029	U	U	U	U	U	U	U	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	I	I	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
358	Bogrib		-139.179	-305.873	1,1,0	https://www.sarna.net/wiki/Bogrib	336.049	U	U	U	U	U	U	U	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
360	Bonaire		-44.042	-96.418	1,1,0	https://www.sarna.net/wiki/Bonaire	106.001	U	U	U	U	U	U	U	FWL	FWL	FWL	FWL	FWL	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
371	Borka		-56.598	-325.638	1,1,0	https://www.sarna.net/wiki/Borka	330.520	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	FWL,Duchy of Andurien	FWL,Duchy of Andurien	FWL,Duchy of Andurien	FWL,Duchy of Andurien	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
389	Brest		30.759	-303.500	1,1,0	https://www.sarna.net/wiki/Brest	305.055	U	U	U	U	U	U	U	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
417	Buenos Aires		18.092	-341.994	1,1,0	https://www.sarna.net/wiki/Buenos_Aires	342.472					CCom	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	A	A	A	A	A	A	A	A	A	A
418	Burnt Rock		-328.509	191.528	1,1,0	https://www.sarna.net/wiki/Burnt_Rock	380.265	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
435	Calchedon		-366.936	-96.040	1,1,0	https://www.sarna.net/wiki/Calchedon	379.296	U	U	U	U	U	U	U	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
439	Caledea		-283.323	215.575	1,1,0	https://www.sarna.net/wiki/Caledea	356.012	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
473	Cardff		-377.873	-5.998	1,1,0	https://www.sarna.net/wiki/Cardff	377.921	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
495	Catroxx		-90.857	-36.364	1,1,0	https://www.sarna.net/wiki/Catroxx	97.864	U	U	U	U	U	U	U	FWL	FWL	FWL	FWL	FWL	LC,Federation of Skye,Rahneshire	LC,Federation of Skye,Rahneshire	LC,Federation of Skye,Rahneshire	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
507	Cerignola		-328.010	-286.324	1,1,0	https://www.sarna.net/wiki/Cerignola	435.399	U	U	U	U	U	U	U	FWL,Rim Commonality	FWL,Rim Commonality	FWL,Rim Commonality	FWL,Rim Commonality	FWL,Rim Commonality	FWL,Rim Commonality	FWL,Rim Commonality	FWL,Rim Commonality	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
530	Chengdu		-29.575	-170.358	1,1,0	https://www.sarna.net/wiki/Chengdu	172.906	U	U	U	U	U	U	U	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	CC,Capella Commonality,Region 1	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
532	Chennai		10.046	-374.191	1,1,0	https://www.sarna.net/wiki/Chennai	374.326	U	U	U	U	U	U	U	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
561	Circinus		-388.555	-66.824	1,1,0	https://www.sarna.net/wiki/Circinus	394.259	U	U	U	U	U	U	U	RW,Erdvynn Province	RW,Erdvynn Province	RW,Erdvynn Province	I	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	CF,Faction Capital	A	A	A	A	A	A	A	A
585	Conley's Patch		-220.211	205.816	1,1,0	https://www.sarna.net/wiki/Conley's_Patch	301.418	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
619	Cree		-189.457	-247.497	1,1,0	https://www.sarna.net/wiki/Cree	311.687	U	U	U	U	U	U	U	FWL,Regulan Free States	FWL,Regulan Free States	FWL,Regulan Free States	FWL,Regulan Free States	FWL,Regulan Free States	FWL,Regulan Free States	FWL,Regulan Free States	FWL,Regulan Free States	FWL,Regulan Free States	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
650	Dalian		-57.584	-267.289	1,1,0	https://www.sarna.net/wiki/Dalian	273.422	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	FWL,Duchy of Andurien	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
660	Dansur		-74.923	-315.105	1,1,0	https://www.sarna.net/wiki/Dansur	323.890	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	FWL,Duchy of Andurien	FWL,Duchy of Andurien	FWL,Duchy of Andurien	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
702	Deweidewd		-107.279	283.248	1,1,0	https://www.sarna.net/wiki/Deweidewd	302.883	U	U	U	U	U	U	U	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
705	Diamantina		-314.895	-99.560	1,1,0	https://www.sarna.net/wiki/Diamantina	330.259						FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	DTA	A	A	A	A	A	A	A	A
716	Dì-fang		-9.650	-297.470	1,1,0	https://www.sarna.net/wiki/D%C3%AC-fang	297.626	U	U	U	U	U	U	U	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	CC,Sian Commonality,Region 3	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
718	Dili		-55.000	-299.300	1,1,0	https://www.sarna.net/wiki/Dili	304.312	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 2	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	CC,Andurien Commonality,Region 1	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
778	Eion		-357.161	-122.853	1,1,0	https://www.sarna.net/wiki/Eion	377.699	U	U	U	U	U	U	U	FWL,Abbey District	FWL,Abbey District	FWL,Abbey District	FWL,Abbey District	FWL,Abbey District	FWL,Abbey District	FWL,Abbey District	FWL,Abbey District	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
785	Elbing		-65.529	-70.625	1,1,0	https://www.sarna.net/wiki/Elbing_(FWL)	96.343	U	U	U	U	FWL	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
820	Eschenberg		-149.407	181.546	1,1,0	https://www.sarna.net/wiki/Eschenberg	235.120	U	U	U	U		LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	LC,Protectorate of Donegal,District of Donegal	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
823	Espia		-16.910	-389.694	1,1,0	https://www.sarna.net/wiki/Espia	390.061	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
826	Esztergom		-237.219	-96.946	1,1,0	https://www.sarna.net/wiki/Esztergom	256.264	U	U	U	U	U	U	U	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
882	Fletcher		-67.732	-209.973	1,1,0	https://www.sarna.net/wiki/Fletcher_(FWL)	220.627	FO	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Federation of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	FWL,Duchy of Oriente	DO	DO	DO	A	A	A	A	A
885	Florarda		32.033	-256.932	1,1,0	https://www.sarna.net/wiki/Florarda	258.921	U	U	U	U	U	U	U	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	CC,Sian Commonality,Region 5	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
888	Flychenia		-181.916	-100.888	1,1,0	https://www.sarna.net/wiki/Flychenia	208.019	U	U	U	U	U	U	U	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
913	Gabenstad		-343.633	404.217	1,1,0	https://www.sarna.net/wiki/Gabenstad	530.542						RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	I	I	I	I	I	I	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
